City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Saint-Pierre,RE,75.56,few clouds,-21.3393,55.4781,Lindsey Hôtel
7,San Patricio,US,82.85,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
9,Saint-Francois,FR,79.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
10,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Ubrique,ES,83.07,broken clouds,36.6778,-5.446000000000001,Hotel Sierra de Ubrique
15,Marsa Matruh,EG,76.26,clear sky,31.3525,27.2453,Beau Site
17,Hilo,US,77.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
22,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
39,Kavieng,PG,78.12,moderate rain,-2.5744,150.7967,Nusa Island Retreat
41,Nurpur,IN,86.32,broken clouds,29.15,78.4167,Meenaxi press
42,Kilindoni,TZ,79.03,few clouds,-7.9139,39.6668,Bustani B&B
44,Victoria,HK,83.32,moderate rain,22.2855,114.1577,Mini Hotel Central
47,Honiara,SB,77.61,overcast clouds,-9.4333,159.95,Heritage Park Hotel
49,Namatanai,PG,79.41,moderate rain,-3.6667,152.4333,Namatanai Hotel
51,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
57,Bull Savanna,JM,79.93,overcast clouds,17.8868,-77.5902,Big Red's
60,Arraial Do Cabo,BR,75.16,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
67,Butaritari,KI,82.69,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
69,Itarema,BR,86.04,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
70,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
74,Georgetown,MY,86.9,light rain,5.4112,100.3354,Cititel Penang
75,Samarai,PG,78.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
77,Simoes,BR,85.48,few clouds,-7.5989,-40.8178,Hotel Ponto Certo
80,Atuona,PF,78.51,few clouds,-9.8,-139.0333,Villa Enata
83,Sao Raimundo Das Mangabeiras,BR,88.0,broken clouds,-7.0219,-45.4811,Hotel Tropical
84,Honavar,IN,79.92,light rain,14.2833,74.45,Hotel Sagar Residency
86,Caraballeda,VE,88.86,clear sky,10.6112,-66.8522,Hotel 15 Letras
88,Ternate,ID,82.15,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
93,Morgan City,US,79.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
101,Finschhafen,PG,78.87,broken clouds,-6.6024,147.8681,Cossam Guest House
104,Mbandaka,CD,78.91,moderate rain,0.0487,18.2603,Guest House Epervier
106,Beyneu,KZ,85.95,clear sky,45.3167,55.2,NUR
110,Auki,SB,76.69,overcast clouds,-8.7676,160.7034,Auki Motel
112,Buta,CD,88.66,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
117,Mahanoro,MG,76.26,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
118,Kahramanmaras,TR,81.23,clear sky,38.0,37.0,
119,Saint-Philippe,RE,75.47,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Hami,CN,83.93,clear sky,42.8,93.45,Laoyutang Resort
122,Waingapu,ID,76.42,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
124,Kinablangan,PH,76.06,heavy intensity rain,7.6947,126.5503,Danny Moreno Property
126,Luanda,AO,82.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
127,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
129,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
132,Kieta,PG,78.93,light rain,-6.2167,155.6333,Uruna Bay Retreat
136,Vila Velha,BR,83.97,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
142,Buala,SB,79.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
145,Ambilobe,MG,79.79,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
147,Monrovia,LR,85.77,light rain,6.3005,-10.7969,Sunset Inn
148,Nouadhibou,MR,76.98,clear sky,20.930999999999997,-17.0347,El Medina
151,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
154,Padang,ID,79.25,overcast clouds,-0.9492,100.3543,Mercure Padang
