City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cayenne,GF,4.9333,-52.3333,84.24,74,75,9.42,broken clouds
1,Sabang,ID,5.8933,95.3214,82.99,76,86,17.98,light rain
2,Ushuaia,AR,-54.8,-68.3,29.86,86,75,6.91,broken clouds
3,Meulaboh,ID,4.1363,96.1285,78.24,84,95,1.86,overcast clouds
4,Hualmay,PE,-11.0964,-77.6139,67.64,78,97,6.69,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,33.19,89,100,2.95,overcast clouds
6,Bara,NG,10.3744,10.7288,96.58,23,44,3.29,scattered clouds
7,Faanui,PF,-16.4833,-151.75,78.4,68,100,14.58,overcast clouds
8,Sao Joao Do Piaui,BR,-8.3581,-42.2467,94.82,28,11,7.54,few clouds
9,Hithadhoo,MV,-0.6,73.0833,84.07,70,82,16.64,broken clouds
10,Omsukchan,RU,62.5333,155.8,34.03,79,76,7.49,broken clouds
11,Kodiak,US,57.79,-152.4072,45.91,87,90,14.97,light rain
12,Hirosaki,JP,40.5931,140.4725,50.68,95,57,1.77,broken clouds
13,Sola,VU,-13.8833,167.55,76.53,84,100,14.88,overcast clouds
14,Atuona,PF,-9.8,-139.0333,78.66,70,25,11.88,scattered clouds
15,Neuruppin,DE,52.9282,12.8031,72.99,37,46,6.55,scattered clouds
16,Shieli,KZ,44.1667,66.75,88.41,23,100,6.58,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,83,5.01,broken clouds
18,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,21,6.4,few clouds
19,Cidreira,BR,-30.1811,-50.2056,58.1,42,0,7.87,clear sky
20,Pevek,RU,69.7008,170.3133,36.25,67,36,0.38,scattered clouds
21,Georgetown,MY,5.4112,100.3354,86.9,76,20,1.01,few clouds
22,Busselton,AU,-33.65,115.3333,51.08,85,100,6.46,overcast clouds
23,Alofi,NU,-19.0595,-169.9187,73.29,94,56,3.44,light rain
24,Idrinskoye,RU,54.3708,92.1358,48.42,65,0,4.72,clear sky
25,Caimito,CO,8.8123,-75.4107,83.59,75,87,2.42,overcast clouds
26,Carnarvon,AU,-24.8667,113.6333,59.07,88,1,8.05,clear sky
27,Rikitea,PF,-23.1203,-134.9692,74.08,66,0,13.47,clear sky
28,New Norfolk,AU,-42.7826,147.0587,44.58,83,100,1.01,overcast clouds
29,Hobart,AU,-42.8794,147.3294,44.92,83,100,1.99,light rain
30,Pangnirtung,CA,66.1451,-65.7125,32.0,93,40,9.22,scattered clouds
31,Semnan,IR,35.5729,53.3971,93.34,10,0,12.35,clear sky
32,Alice Springs,AU,-23.7,133.8833,58.55,29,91,7.65,overcast clouds
33,Sioux Lookout,CA,50.1001,-91.917,57.27,77,20,4.61,few clouds
34,Grand Gaube,MU,-20.0064,57.6608,75.6,75,0,4.0,clear sky
35,Punta Arenas,CL,-53.15,-70.9167,30.22,86,0,3.56,clear sky
36,Washougal,US,45.5826,-122.3534,69.04,71,29,1.99,scattered clouds
37,San Andres,CO,12.5847,-81.7006,86.02,66,20,12.66,few clouds
38,Vaini,TO,-21.2,-175.2,73.56,88,90,10.36,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,49.48,96,100,2.1,overcast clouds
40,Touros,BR,-5.1989,-35.4608,83.3,63,85,14.03,overcast clouds
41,Beyneu,KZ,45.3167,55.2,83.95,32,1,19.8,clear sky
42,Lagoa,PT,39.05,-27.9833,61.21,85,100,19.69,overcast clouds
43,Albany,US,42.6001,-73.9662,54.91,80,99,6.82,overcast clouds
44,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,90,14.97,overcast clouds
45,Castro,BR,-24.7911,-50.0119,57.25,97,100,2.62,overcast clouds
46,Mae Sot,TH,16.7167,98.5667,76.35,95,32,1.97,moderate rain
47,Mount Isa,AU,-20.7333,139.5,58.77,63,40,0.0,scattered clouds
48,Kirovskiy,RU,45.0917,133.5136,51.08,94,22,3.31,few clouds
49,Nakhodka,RU,42.8333,132.8947,48.22,95,73,5.95,broken clouds
50,Valparaiso,CL,-33.0393,-71.6273,71.83,35,0,6.91,clear sky
51,Samarai,PG,-10.6167,150.6667,78.73,78,100,20.87,overcast clouds
52,Havoysund,NO,70.9963,24.6622,43.68,96,100,25.79,overcast clouds
53,Mar Del Plata,AR,-38.0023,-57.5575,62.1,58,20,3.0,few clouds
54,Nkowakowa,ZA,-23.8878,30.2871,60.85,68,90,3.94,overcast clouds
55,Jinchang,CN,38.4953,102.1739,67.21,15,100,4.03,overcast clouds
56,Ossora,RU,59.2353,163.0719,36.79,75,58,3.09,broken clouds
57,Saskylakh,RU,71.9167,114.0833,46.63,72,68,13.49,broken clouds
58,Jamestown,US,42.097,-79.2353,63.3,46,58,3.0,broken clouds
59,Hilo,US,19.7297,-155.09,77.29,94,90,4.61,moderate rain
60,Kentville,CA,45.0835,-64.4988,57.45,94,100,2.3,overcast clouds
