City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2021-05-29 19:11:12,-24.7911,-50.0119,72.72,64,5,10.18
1,Bilibino,RU,2021-05-29 19:16:08,68.0546,166.4372,46.42,54,89,2.26
2,Atuona,PF,2021-05-29 19:12:27,-9.8,-139.0333,78.71,71,3,10.58
3,Georgetown,MY,2021-05-29 19:11:21,5.4112,100.3354,84.13,83,20,5.01
4,Ust-Tarka,RU,2021-05-29 19:16:08,55.5672,75.705,62.35,49,74,10.49
5,Avarua,CK,2021-05-29 19:16:09,-21.2078,-159.775,75.25,64,17,4.61
6,Namibe,AO,2021-05-29 19:16:09,-15.1961,12.1522,72.75,77,1,5.66
7,Chokurdakh,RU,2021-05-29 19:16:09,70.6333,147.9167,49.46,50,9,10.02
8,Vaini,TO,2021-05-29 19:16:10,-21.2,-175.2,73.56,94,75,1.14
9,Carlyle,US,2021-05-29 19:15:37,38.6103,-89.3726,60.39,69,68,1.01
10,Punta Arenas,CL,2021-05-29 19:12:11,-53.15,-70.9167,39.31,41,75,19.13
11,Saint-Philippe,RE,2021-05-29 19:16:10,-21.3585,55.7679,69.35,80,22,5.23
12,Rikitea,PF,2021-05-29 19:16:11,-23.1203,-134.9692,77.05,86,100,19.75
13,Busselton,AU,2021-05-29 19:15:03,-33.65,115.3333,54.09,93,91,11.03
14,Port Alfred,ZA,2021-05-29 19:16:11,-33.5906,26.891,61.68,75,99,29.12
15,Victoria,HK,2021-05-29 19:15:01,22.2855,114.1577,86.38,88,92,1.99
16,Tiksi,RU,2021-05-29 19:16:11,71.6872,128.8694,30.63,97,74,8.81
17,Kapaa,US,2021-05-29 19:14:59,22.0752,-159.319,80.92,71,75,1.99
18,Cidreira,BR,2021-05-29 19:16:12,-30.1811,-50.2056,65.86,65,0,11.18
19,Kodiak,US,2021-05-29 19:16:12,57.79,-152.4072,45.91,93,90,9.22
20,Dalbandin,PK,2021-05-29 19:16:12,28.8947,64.4101,86.72,12,0,4.16
21,Cairns,AU,2021-05-29 19:16:13,-16.9167,145.7667,69.75,78,70,8.05
22,Mataura,NZ,2021-05-29 19:16:13,-46.1927,168.8643,49.48,96,100,4.88
23,Cabo San Lucas,MX,2021-05-29 19:15:45,22.8909,-109.9124,101.52,45,40,3.44
24,Faanui,PF,2021-05-29 19:16:14,-16.4833,-151.75,79.43,68,54,5.01
25,Bluff,NZ,2021-05-29 19:16:14,-46.6,168.3333,49.8,87,100,19.77
26,Port Elizabeth,ZA,2021-05-29 19:12:04,-33.918,25.5701,56.1,94,90,10.36
27,Torbay,CA,2021-05-29 19:16:14,47.6666,-52.7314,50.88,69,75,16.11
28,Adrar,MR,2021-05-29 19:16:15,20.5022,-10.0711,101.82,8,100,10.31
29,Praxedis Guerrero,MX,2021-05-29 19:16:15,31.3667,-106.0167,92.66,10,3,3.67
30,Pangkalanbuun,ID,2021-05-29 19:16:15,-2.6833,111.6167,72.82,98,87,2.15
31,Ancud,CL,2021-05-29 19:14:14,-41.8697,-73.8203,50.43,72,100,8.19
32,Cape Town,ZA,2021-05-29 19:13:58,-33.9258,18.4232,60.28,87,4,1.99
33,Butaritari,KI,2021-05-29 19:16:16,3.0707,172.7902,82.69,78,100,15.79
34,Narrabri,AU,2021-05-29 19:16:16,-30.3167,149.7833,41.09,81,100,11.5
35,New Norfolk,AU,2021-05-29 19:16:17,-42.7826,147.0587,45.9,76,32,3.4
36,Ushuaia,AR,2021-05-29 19:16:14,-54.8,-68.3,29.86,93,90,18.41
37,Thompson,CA,2021-05-29 19:16:17,55.7435,-97.8558,57.36,58,90,18.41
38,Albany,US,2021-05-29 19:16:17,42.6001,-73.9662,52.14,78,100,6.17
39,Amapa,BR,2021-05-29 19:16:18,1.0,-52.0,80.55,94,21,3.71
40,Guerrero Negro,MX,2021-05-29 19:16:18,27.9769,-114.0611,67.35,62,41,17.98
41,Pochutla,MX,2021-05-29 19:16:18,15.7432,-96.4661,88.83,45,64,9.82
42,Emerald,AU,2021-05-29 19:16:18,-23.5333,148.1667,53.74,50,44,11.5
43,Puerto Ayora,EC,2021-05-29 19:16:19,-0.7393,-90.3518,82.36,81,59,8.01
